timestamp,ax,ay,az,gx,gy,gz
35838.84,9.82102,-0.636858,-0.316035,-0.976562,-2.86865,-1.09863
35838.845,9.82102,-0.603339,-0.263362,-0.915527,-3.11279,-1.09863
35838.85,9.83299,-0.605733,-0.263362,-0.976562,-2.99072,-1.0376
35838.855,9.80665,-0.629675,-0.306458,-1.15967,-2.92969,-1.2207
35838.86,9.80186,-0.64404,-0.316035,-1.15967,-2.80762,-1.15967
35838.865,9.81383,-0.653617,-0.31364,-1.09863,-2.92969,-1.0376
35838.87,9.82102,-0.663194,-0.294487,-1.0376,-2.92969,-1.09863
35838.875,9.81862,-0.651223,-0.251391,-0.976562,-2.86865,-1.0376
35838.88,9.83777,-0.608127,-0.258574,-0.793457,-2.80762,-0.976562
35838.885,9.83538,-0.61531,-0.306458,-0.793457,-2.86865,-1.0376
35838.89,9.84975,-0.622492,-0.277727,-0.976562,-2.86865,-1.09863
35838.895,9.84975,-0.605733,-0.263362,-1.09863,-2.99072,-1.09863
35838.9,9.85453,-0.610521,-0.272939,-1.09863,-3.11279,-1.09863
35838.905,9.8689,-0.617704,-0.28491,-0.915527,-3.23486,-1.15967
35838.91,9.87848,-0.608127,-0.241814,-0.732422,-3.11279,-1.2207
35838.915,9.87848,-0.608127,-0.301669,-0.610352,-3.05176,-1.2207
35838.92,9.86411,-0.636858,-0.337582,-0.610352,-3.05176,-1.34277
35838.925,9.85214,-0.617704,-0.347159,-0.488281,-2.99072,-1.2207
35838.93,9.86411,-0.593762,-0.306458,-0.305176,-2.68555,-1.2207
35838.935,9.86411,-0.600945,-0.304064,0.0610352,-2.62451,-1.34277
35838.94,9.87848,-0.588974,-0.337582,0.183105,-2.13623,-1.34277
35838.945,9.8689,-0.581791,-0.361524,0.244141,-2.01416,-1.40381
35838.95,9.8689,-0.593762,-0.387861,0.183105,-1.64795,-1.40381
35838.955,9.86172,-0.610521,-0.407014,0.183105,-1.40381,-1.28174
35838.96,9.85932,-0.651223,-0.368707,0.12207,-1.2207,-1.2207
35838.965,9.88087,-0.656011,-0.354342,0.183105,-0.915527,-1.09863
35838.97,9.86651,-0.663194,-0.354342,0.244141,-0.671387,-1.40381
35838.975,9.85932,-0.675165,-0.37589,0.366211,-0.427246,-1.34277
35838.98,9.85693,-0.675165,-0.438139,0.488281,-0.0610352,-1.2207
35838.985,9.85214,-0.677559,-0.407014,0.671387,0.0,-1.40381
35838.99,9.84017,-0.675165,-0.378284,0.854492,0.12207,-1.58691
35838.995,9.83538,-0.6608,-0.373495,0.915527,0.12207,-1.64795
35839.0,9.82102,-0.632069,-0.342371,0.671387,0.305176,-1.64795
35839.005,9.83059,-0.620098,-0.351948,0.671387,0.427246,-1.70898
35839.01,9.8258,-0.622492,-0.320823,0.427246,0.610352,-1.64795
35839.015,9.84735,-0.605733,-0.328006,0.244141,0.793457,-1.77002
35839.02,9.84256,-0.584185,-0.361524,0.12207,0.671387,-1.70898
35839.025,9.83059,-0.610521,-0.344765,-0.12207,0.793457,-1.95312
35839.03,9.82341,-0.59855,-0.337582,-0.12207,0.793457,-2.01416
35839.035,9.83777,-0.61531,-0.306458,0.12207,0.915527,-1.95312
35839.04,9.87129,-0.600945,-0.265756,0.244141,0.854492,-2.01416
35839.045,9.88326,-0.565032,-0.289698,0.427246,0.976562,-1.95312
35839.05,9.88326,-0.531513,-0.289698,0.427246,0.976562,-2.19727
35839.055,9.89524,-0.545878,-0.304064,0.366211,0.915527,-2.01416
35839.06,9.92157,-0.584185,-0.318429,0.366211,0.793457,-2.19727
35839.065,9.9096,-0.622492,-0.289698,0.488281,0.976562,-2.13623
35839.07,9.89524,-0.584185,-0.227449,0.732422,0.976562,-2.01416
35839.075,9.89763,-0.574608,-0.289698,0.915527,1.09863,-2.01416
35839.08,9.84975,-0.591368,-0.316035,0.976562,1.09863,-2.01416
35839.085,9.81383,-0.579397,-0.277727,0.976562,0.915527,-2.01416
35839.09,9.81623,-0.548272,-0.246603,1.0376,0.854492,-2.0752
35839.095,9.82102,-0.52433,-0.251391,1.09863,0.793457,-2.0752
35839.1,9.79947,-0.531513,-0.265756,0.976562,0.793457,-2.01416
35839.105,9.81144,-0.543484,-0.306458,0.976562,0.610352,-1.95312
35839.11,9.8282,-0.557849,-0.292093,0.915527,0.549316,-1.95312
35839.115,9.83059,-0.54109,-0.265756,1.09863,0.610352,-1.77002
35839.12,9.81383,-0.536301,-0.268151,1.34277,0.488281,-1.83105
35839.125,9.81862,-0.536301,-0.328006,1.28174,0.488281,-1.77002
35839.13,9.82102,-0.529119,-0.294487,1.40381,0.305176,-1.70898
35839.135,9.83777,-0.509965,-0.246603,1.77002,0.244141,-1.58691
35839.14,9.83538,-0.502782,-0.203507,1.89209,0.0610352,-1.58691
35839.145,9.83538,-0.509965,-0.234632,1.77002,0.0,-1.58691
35839.15,9.83059,-0.507571,-0.253785,1.46484,-0.183105,-1.52588
35839.155,9.85453,-0.490811,-0.234632,1.34277,-0.183105,-1.46484
